display_name,importance,place_id,lon,lat,osm_type,licence,osm_id,boundingbox,type,class
,,,,,,,,,,
"Starplex Cinemas customer parking, Leah Avenue, Feltner, San Marcos, Hays County, Texas, 78666-5923, USA",0.401,83417719,-97.95064876,29.8527467,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",31107160,"[u'29.8518439', u'29.853677', u'-97.9517461', u'-97.9495385']",parking,amenity
,,,,,,,,,,
"LBJ Student Center Parking Garage, Gaillardia Street, East Guadalupe, San Marcos, Hays County, Texas, 78666, USA",0.401,94592889,-97.94546633,29.88964715,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",86323258,"[u'29.8892751', u'29.8900518', u'-97.9459342', u'-97.9449954']",parking,amenity
,,,,,,,,,,
"Churcjh Parking Lot, North LBJ Drive, Castle Forest, San Marcos, Hays County, Texas, 78666, USA",0.401,166506817,-97.94836446,29.89876505,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",410930567,"[u'29.8984814', u'29.8989976', u'-97.9487643', u'-97.9481098']",parking,amenity
,,,,,,,,,,
"Lowe's Home Improvement Center customer parking, McKinley Place Drive, Feltner, San Marcos, Hays County, Texas, 78666-5923, USA",0.401,99970689,-97.9525167,29.8548525,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",105894533,"[u'29.8540755', u'29.8557908', u'-97.9534255', u'-97.9514078']",parking,amenity
,,,,,,,,,,
"Pleasant Street Parking Garage, 102, Pleasant Street, Rio Vista, San Marcos, Hays County, Texas, 78666, USA",0.401,177571809,-97.94076155,29.88999785,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",470307321,"[u'29.8897133', u'29.890354', u'-97.941167', u'-97.9403461']",parking,amenity
,,,,,,,,,,
"Upper Purgatory Greenspace Parking Area, RM 12, Franklin Square, San Marcos, Hays County, Texas, 78666, USA",0.401,3665750,-97.977651,29.8836954,node,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",388833270,"[u'29.8836454', u'29.8837454', u'-97.977701', u'-97.977601']",parking,amenity
,,,,,,,,,,
"Wonder World, Wonder World Parking, Victory Gardens, San Marcos, Hays County, Texas, 78666, USA",0.401,188188201,-97.95737142,29.87725505,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",547772710,"[u'29.8768491', u'29.8777571', u'-97.9576699', u'-97.9567737']",parking,amenity
,,,,,,,,,,
"public library parking lot, East Hopkins Street, Rio Vista, San Marcos, Hays County, Texas, 78666-7235, USA",0.401,7041672,-97.9311421,29.8859118,node,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",715788525,"[u'29.8858618', u'29.8859618', u'-97.9311921', u'-97.9310921']",parking,amenity
,,,,,,,,,,
